[0x000000010B3F7090]	WorldSettings WorldSettings
[0x000000010B3FB5A0]	MFWorldCompositionActor MFWorldCompositionActor_1
[0x000000011A04A180]	BP_SceneRenderingSettings_C BP_SceneRenderingSettings_2
[0x000000011A048C80]	LevelBounds LevelBounds_0
[0x000000011A048200]	RuntimeVirtualTextureVolume RuntimeVirtualTextureVolume_3
[0x00000000FBA307F0]	UAAutoColorGrading UAAutoColorGrading1
[0x00000000FB814ED0]	MFSceneryRuntimeSettingsActor MFSceneryRuntimeSettingsActor_1
[0x000000011A049E00]	CameraRig_Rail CameraRig_Benchmark
[0x000000011A04A500]	Actor Actor3_5
[0x000000011A047E80]	PrecomputedVisibilityVolume PrecomputedVisibilityVolume3
[0x000000010B3FAB00]	MFLandscapeProxyMeshConfigActor MFLandscapeProxyMeshConfigActor_1
[0x000000011A049700]	CAMeshDrawStatsActor CAMeshDrawStatsActor_1
[0x000000011A049000]	GrassHDSettingsActor GrassHDSettingsActor_1
[0x0000000105E22F50]	LevelSequenceActor Farmland_Benchmark_Sequence_2
[0x000000012180F900]	DefaultPhysicsVolume DefaultPhysicsVolume_2147480892
[0x000000010BB7A8B0]	BP_UamTutorialGameMode_C BP_UamTutorialGameMode_C_2147480890
[0x00000000FBBD0100]	CineCameraActor CineCameraActor_Benchmark
[0x0000000121C7C800]	GameSession GameSession_2147480886
[0x000000011B5EEE80]	ParticleEventManager ParticleEventManager_2147480885
[0x000000011BD6D8A0]	GameNetworkManager GameNetworkManager_2147480881
[0x000000011A047780]	SGWorldSettingsActor SGWorldSettingsActor1
[0x000000011A046980]	Farmland_715_Main_C Farmland_715_Main_C_1
[0x000000003FA5B890]	BP_UamTutorialGameState_C BP_UamTutorialGameState_C_2147480883
[0x000000003FA43B70]	AbstractNavData AbstractNavData-Default
[0x00000000EE392740]	BP_UamTutorialPlayerController_C BP_UamTutorialPlayerController_C_2147480878
[0x0000000010CE8080]	BP_UamTutorialPlayerState_C BP_UamTutorialPlayerState_C_2147480877
[0x000000011B7ACCD0]	BP_UamPlayerCameraManagerTemplate_C BP_UamPlayerCameraManagerTemplate_C_2147480875
[0x0000000121B3C040]	CameraActor CameraActor_2147480854
[0x0000000103EDC040]	BP_UamTeamInfo_C BP_UamTeamInfo_C_2147480852
[0x000000010C43B9E0]	BP_UamTutorialHUD_C BP_UamTutorialHUD_C_2147480847
[0x000000012199E080]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480695
[0x000000012199D600]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480693
[0x000000012199EE80]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480691
[0x0000000121C72E00]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480689
[0x0000000121818200]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480687
[0x00000000E9B9FC80]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480685
[0x0000000121C7A180]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480683
[0x0000000121C79A80]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480681
[0x0000000121C76280]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480679
[0x000000012182B680]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480677
[0x000000013611A880]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480675
[0x000000012182BA00]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480673
[0x000000010995A180]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480671
[0x00000000F3D4C480]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480669
[0x000000011C184D80]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480667
